201,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
+,X,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+
.,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,.,.,.,.,.,.,.,.,.,|,.,.,.,.,.,|,.,.,|,.,.,.,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,.,.,.,.,.,.,|,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,|,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,|,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,.,.,.,.,.,.,|,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,|,.,.,.,.,.,.,.,.,.,.,.,.,.,.,|,.,.,.,.,.,.,.,.,.,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,.,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|
+,-,-,+,.,.,+,.,.,+,.,.,+,.,.,+,.,.,+,-,-,+,-,-,+,.,.,+,.,.,+,.,.,+,.,.,+,.,.,+,-,-,+,.,.,+,-,-,+,.,.,+,.,.,+,.,.,+,.,.,+,-,-,+,.,.,+,.,.,+,.,.,+,-,-,+,-,-,+,.,.,+,.,.,+,-,-,+,.,.,+,-,-,+,-,-,+,-,-,+,-,-,+,.,.,+,.,.,+,-,-,+,-,-,+,-,-,+,-,-,+,.,.,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,.,.,+,.,.,+,-,-,+,.,.,+,-,-,+,.,.,+,.,.,+,-,-,+,-,-,+,.,.,+,.,.,+,-,-,+,-,-,+,-,-,+,-,-,+,.,.,+,.,.,+,-,-,+,.,.,+,-,-,+,-,-,+,.,.,+,.,.,+,-,-,+,-,-,+,.,.,+,.,.,+,.,.,+,.,.,+,-,-,+,-,-,+,.,.,+,.,.,+,-,-,+,.,.,+,-,-,+,.,.,+,.,.,+,-,-,+,.,.,+,-,-,+,-,-,+,-,-,+,.,.,+,-,-,+,-,-,+,-,-,+,-,-,+,.,.,+,-,-,+,.,.,+,-,-,+,.,.,+
|,.,.,.,.,.,|,.,.,|,.,.,|,.,.,|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,|,.,.,.,.,.,.,.,.,|,.,.,.,.,.,.,.,.,.,.,.,|,.,.,|,.,.,|,.,.,|,.,.,.,.,.,|,.,.,|,.,.,|,.,.,|,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,|,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,|,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,|,.,.,.,.,.,.,.,.,|,.,.,.,.,.,|,.,.,|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,|,.,.,|,.,.,.,.,.,.,.,.,|,.,.,.,.,.,|,.,.,|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,|,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,|,.,.,|
+,.,.,+,-,-,+,.,.,+,-,-,+,.,.,+,-,-,+,.,.,+,.,.,+,-,-,+,.,.,+,-,-,+,-,-,+,-,-,+,.,.,+,.,.,+,-,-,+,-,-,+,.,.,+,.,.,+,-,-,+,.,.,+,-,-,+,.,.,+,.,.,+,.,.,+,.,.,+,-,-,+,-,-,+,-,-,+,-,-,+,.,.,+,.,.,+,.,.,+,.,.,+,.,.,+,-,-,+,-,-,+,.,.,+,-,-,+,.,.,+,.,.,+,-,-,+,.,.,+,.,.,+,-,-,+,.,.,+,.,.,+,-,-,+,-,-,+,.,.,+,.,.,+,.,.,+,.,.,+,-,-,+,-,-,+,.,.,+,.,.,+,-,-,+,-,-,+,.,.,+,-,-,+,.,.,+,.,.,+,-,-,+,.,.,+,-,-,+,.,.,+,.,.,+,-,-,+,.,.,+,-,-,+,.,.,+,-,-,+,-,-,+,.,.,+,.,.,+,.,.,+,-,-,+,-,-,+,-,-,+,-,-,+,.,.,+,.,.,+,-,-,+,-,-,+,.,.,+,.,.,+,-,-,+,.,.,+,.,.,+,-,-,+,.,.,+,.,.,+,-,-,+,.,.,+,-,-,+,-,-,+,-,-,+,.,.,+,.,.,+
|,.,.,|,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,|,.,.,.,.,.,.,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,|,.,.,.,.,.,|,.,.,|,.,.,.,.,.,.,.,.,|,.,.,.,.,.,.,.,.,.,.,.,|,.,.,|,.,.,.,.,.,.,.,.,.,.,.,|,.,.,|,.,.,|,.,.,|,.,.,|,.,.,.,.,.,.,.,.,|,.,.,|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,|,.,.,.,.,.,|,.,.,|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,|,.,.,|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,.,.,.,.,.,.,.,.,.,|,.,.,.,.,.,|,.,.,|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,|,.,.,|,.,.,.,.,.,.,.,.,|,.,.,.,.,.,|,.,.,|,.,.,.,.,.,.,.,.,|,.,.,|,.,.,|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,|,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,|,.,.,|
+,.,.,+,-,-,+,-,-,+,.,.,+,-,-,+,.,.,+,.,.,+,-,-,+,-,-,+,-,-,+,.,.,+,.,.,+,-,-,+,-,-,+,-,-,+,.,.,+,.,.,+,.,.,+,-,-,+,-,-,+,-,-,+,.,.,+,.,.,+,-,-,+,-,-,+,.,.,+,.,.,+,.,.,+,-,-,+,.,.,+,.,.,+,.,.,+,-,-,+,.,.,+,.,.,+,-,-,+,.,.,+,.,.,+,.,.,+,-,-,+,-,-,+,.,.,+,.,.,+,-,-,+,.,.,+,.,.,+,-,-,+,.,.,+,.,.,+,.,.,+,-,-,+,-,-,+,-,-,+,.,.,+,.,.,+,.,.,+,-,-,+,.,.,+,-,-,+,-,-,+,.,.,+,.,.,+,-,-,+,-,-,+,-,-,+,.,.,+,-,-,+,.,.,+,-,-,+,.,.,+,.,.,+,.,.,+,.,.,+,-,-,+,-,-,+,.,.,+,.,.,+,.,.,+,-,-,+,.,.,+,.,.,+,-,-,+,.,.,+,.,.,+,-,-,+,-,-,+,.,.,+,.,.,+,-,-,+,-,-,+,.,.,+,-,-,+,-,-,+,.,.,+,-,-,+,-,-,+,-,-,+,.,.,+,-,-,+,.,.,+
|,.,.,.,.,.,.,.,.,|,.,.,.,.,.,|,.,.,|,.,.,|,.,.,.,.,.,.,.,.,|,.,.,|,.,.,.,.,.,.,.,.,.,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,|,.,.,|,.,.,|,.,.,.,.,.,|,.,.,|,.,.,.,.,.,|,.,.,|,.,.,|,.,.,|,.,.,.,.,.,|,.,.,|,.,.,.,.,.,.,.,.,|,.,.,|,.,.,.,.,.,|,.,.,|,.,.,|,.,.,|,.,.,|,.,.,.,.,.,.,.,.,|,.,.,|,.,.,.,.,.,.,.,.,.,.,.,|,.,.,.,.,.,|,.,.,|,.,.,|,.,.,|,.,.,.,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,|,.,.,.,.,.,|,.,.,|,.,.,|,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,|,.,.,|,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,|,.,.,.,.,.,.,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,.,.,.,.,.,.,|,.,.,.,.,.,|
+,-,-,+,-,-,+,.,.,+,-,-,+,.,.,+,.,.,+,.,.,+,.,.,+,-,-,+,.,.,+,.,.,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,.,.,+,.,.,+,-,-,+,.,.,+,-,-,+,.,.,+,.,.,+,.,.,+,-,-,+,.,.,+,.,.,+,-,-,+,.,.,+,.,.,+,.,.,+,.,.,+,-,-,+,-,-,+,.,.,+,-,-,+,-,-,+,.,.,+,.,.,+,.,.,+,-,-,+,.,.,+,.,.,+,.,.,+,-,-,+,-,-,+,.,.,+,.,.,+,-,-,+,-,-,+,-,-,+,-,-,+,-,-,+,.,.,+,.,.,+,.,.,+,.,.,+,.,.,+,.,.,+,-,-,+,-,-,+,.,.,+,.,.,+,-,-,+,-,-,+,.,.,+,-,-,+,.,.,+,-,-,+,.,.,+,-,-,+,-,-,+,.,.,+,-,-,+,-,-,+,.,.,+,.,.,+,.,.,+,-,-,+,.,.,+,-,-,+,-,-,+,.,.,+,.,.,+,-,-,+,-,-,+,-,-,+,-,-,+,.,.,+,-,-,+,.,.,+,.,.,+,-,-,+,.,.,+,-,-,+,-,-,+,-,-,+,.,.,+,-,-,+
|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,|,.,.,|,.,.,|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,.,.,.,.,.,.,.,.,.,|,.,.,|,.,.,|,.,.,|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,.,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,|,.,.,.,.,.,.,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,|,.,.,.,.,.,|,.,.,|,.,.,.,.,.,.,.,.,|,.,.,|,.,.,.,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,|,.,.,|,.,.,.,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,.,.,.,.,.,.,|,.,.,|,.,.,.,.,.,|,.,.,|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,.,.,.,|,.,.,|
